tag|num|kind|label|loc|start
SEA|1|Definition||second.tex:219|An \Define{effect algebra} (EA)~\cite{foulis1994effect} is a set~$E$ with distinguished element~$0 \in E$,
SEA|2|Remark||second.tex:247|We pronounce $a\perp b$ as `$a$ is summable with $b$'. In the literature this is more often referred to as orthogonality, but we avoid this 
SEA|3|Example|ex:orthomodularlattice|second.tex:258|Let~$B$ be a Boolean algebra (or more generally, an orthomodular poset~\cite{holland1975current,maeda,loomis}.) Then $B$ is an effect algebr
SEA|4|Example|ex:cstaralgebra|second.tex:270|Let~$G$ be an ordered abelian group (such as an ordered vector space, for example a C$^*$-algebra,) and let $u\in G$ be any positive element
SEA|5|Remark||second.tex:293|In GPTs, the set of effects of a system is often modelled by the unit interval of an ordered vector space. Hence, the above example demonstr
SEA|6|Example|eaprod|second.tex:297|If~$E$ and~$F$ are effect algebras, then its Cartesian product~$E \oplus F$ with component-wise operations
SEA|7|Proposition||second.tex:309|In any effect algebra we have (see e.g.~\cite{dvurecenskij2013new} or \cite[\S175V]{basthesis})
SEA|8|Definition|def:convex|second.tex:322|A \Define{convex action} on an effect algebra~$E$ is a map $\cdot: [0,1]\times E\rightarrow E$,
SEA|9|Example||second.tex:345|Let $V$ be an ordered real vector space (such as the space of self-adjoint elements of a C$^*$-algebra). Then any interval $[0,u]_V$ where $
SEA|10|Remark||second.tex:350|Convex effect algebras have been well-studied, see e.g.~\cite{jacobs2011probabilities,gudder2018convex,wetering2018characterisation,wetering
SEA|11|Definition||second.tex:360|Let $E$ be a partially ordered set (such as an effect algebra). A subset~$S$ of~$E$ is called \Define{directed} when it is non-empty,
SEA|12|Example||second.tex:369|Any complete Boolean algebra is a directed-complete effect algebra. \end{example}
SEA|13|Example||second.tex:374|Let~$\mathscr{A}$ be a unital C$^*$-algebra. Then $[0,1]_{\mathscr{A}}$ is a directed-complete effect algebra if and only if~$\mathscr{A}$
SEA|14|Remark|remark:infima|second.tex:389|Because the complement acts as an order anti-isomorphism, a directed-complete effect algebra also has infima for all \Define{filtered}, i.e.
SEA|15|Definition|defn:sea|second.tex:411|A \Define{sequential effect algebra} (SEA)~\cite{gudder2002sequential}~$E$
SEA|16|Example|ex:canonical-sea|second.tex:475|If $\mathscr{A}$ is a C$^*$-algebra, then the EA~$[0,1]_{\mathscr{A}}$ is a SEA with the sequential product defined by~$a \mult b := \sqrt{a
SEA|17|Proposition|prop:SEAbasicproperties|second.tex:490|Let $E$ be a SEA with $a,b,c,p \in E$ with~$p$ idempotent.
SEA|18|Lemma|lem:summableunderidempotent|second.tex:601|Let $E$ be a SEA with $p,a,b \in E$ and $p$ idempotent. If~$a,b\leq p$ and~$a\ovee b$ exists, then~$a\ovee b\leq p$.
SEA|19|Lemma|lem:selfsummable|second.tex:614|In a SEA, $a \mult a^\perp$ is summable with itself for any element~$a$. \end{lemma}
SEA|20|Lemma|lem:addition-normal|second.tex:630|Let $E$ be a directed-complete effect algebra, and let $S\subseteq E$ be some directed non-empty subset. Let $a\in E$ be such that $a\perp s
SEA|21|Lemma|lem:archemedeanomegadirectedcomplete|second.tex:645|The only element~$a$ of a directed-complete effect algebra~$E$
SEA|22|Lemma|lem:nonilpotents|second.tex:659|Let $E$ be a normal SEA and suppose $a\in E$ satisfies~$a^2 = 0$. Then~$a = 0$.
SEA|23|Proposition||second.tex:679|Assume~$E$ is a SEA with idempotent~$p \in E$. Write~$p \mult E := \{ p\mult a; \ a \in E\}$ for the \Define{left corner} by~$p$.
SEA|24|Proposition|prop:central-splits|second.tex:714|Let $p$ be a central idempotent in a SEA $E$. Then $E\cong p\mult E \oplus p^\perp \mult E$. \end{proposition}
