DISP|lean_name|module|stmt|proof|note
180I|EffectusTotalForm, PartialMap|Theses/B/Eff/Effectus.lean|ok|none|Definition (dfn-effectus, eff.tex:755). All three clauses match field for field: clause 1 (finite coproducts, hence 0, and a final object 1) is the binder pair [HasFiniteCoproducts C] [HasTerminal C], which is legitimate for a definition; clause 2 is isPullback_plus (X+Y -id+!-> X+1 over 1+Y -id+!-> 1+1 with legs !+id) and isPullback_kappa (X -!-> 1 over X+Y -!+!-> 1+1 with legs kappa1), both with Mathlib's IsPullback fst snd f g argument order checked; clause 3 is jointlyMonic_cotuples for [k1,k2,k2] and [k2,k1,k2] on the left-associated ((1+1)+1). The companion abbrev PartialMap X Y = X to Y+1 renders the closing sentence of 180I.
180VI|Par.category|Theses/B/Eff/Effectus.lean|ok|none|Definition (eff.tex:842). Same objects, homs X to Y+1, Kleisli composition g after-h f = [g,kappa2] after f (Lean: f >> coprod.desc g inr), identity kappa1. The forward remark that Par C is an effectus in partial form rather than total form is not a claim of this point (it is 180X.1 / 187I).
180VII|FinPAC, EffectusPartialForm, IsTotal, predEffectAlgebra|Theses/B/Eff/Effectus.lean|ok|none|Definition (effectus-in-partial-form, eff.tex:862), checked clause by clause. finPAC 1a = binder HasFiniteCoproducts; 1b(i) = binder PCM on every hom-set; 1b(ii) = comp_ovee/ovee_comp (both the preservation of perp and the two distribution equations); 1b(iii) zero = comp_zero/zero_comp; 1c compatible sum = compatible_sum with pproj1 = [id,0], pproj2 = [0,id]; 1d untying = untying. Effects: 2a = the one/orth/perp_orth/ovee_orth/orth_unique/eq_zero_of_perp_one fields, which are exactly the EffectAlgebra axioms of 175I, assembled sorry-free into predEffectAlgebra so that Pred X = C(X,I) really is an effect algebra over the hom-PCM; 2b = perp_of_one_perp; 2c = eq_zero_of_one_zero. Total map = IsTotal f (1 after f = 1). This is the machinery 180V and 211IV rest on and it is NOT weaker than the point; the weakness recorded in QUESTIONS B13 (now closed, entry deleted 2026-09-04) lives in effectus_vn_partial's statement in VNExamples, not in these definitions. 2026-08-27 unrowed pass: lean_name was written with `+` separators, which the audit name-list parser reads as prose and therefore skips entirely -- so none of the four declarations was checked, by the phantom check or by the unrowed check. Rewritten comma-separated; the four are unchanged and the verdict is unchanged. 2026-09-04 multi-clause pass: the point prints TWELVE items and has one row, so each is accounted for by name here. 1 (finPAC) = the class FinPAC itself; 1a (finite coproducts (+,0)) = the binder HasFiniteCoproducts, which in Mathlib entails HasInitial, so the printed 0 comes with it; 1b (PCM-enriched) = the binder plus the four FinPAC fields below; 1b(i) (each homset a PCM with ovee and 0) = the binder [forall X Y : C, PCM (X -> Y)], PCM being the 174II class in EffectAlgebras.lean (Zero plus Perp/ovee plus the commutativity, associativity and zero laws); 1b(ii) = comp_ovee (the k-after-(f ovee g) side) and ovee_comp (the (f ovee g)-after-k side), each phrased as an exists h' so that the field carries BOTH the preservation of perp and the distribution equation; 1b(iii) (zero) = comp_zero and zero_comp; 1c (compatible sum) = compatible_sum, over pproj1 = [id,0] and pproj2 = [0,id] defined just above the class exactly as printed; 1d (untying) = untying; 2 (has effects: a distinguished object I) = the field EffectusPartialForm.I; 2a (Pred X = C(X,I) is an effect algebra) = the one/orth/perp_orth/ovee_orth/orth_unique/eq_zero_of_perp_one fields assembled into predEffectAlgebra, and 2a's trailing aside 'in particular C(X,I) has a maximum element 1' is le_truth (private, Effectus.lean:326) with its public twin pred_le_truth (Quotients.lean:44); neither is rowed and neither is added to lean_name, since pred_le_truth lives in the other module and the private helper needs no row -- prose is the mapping here; 2b = perp_of_one_perp; 2c = eq_zero_of_one_zero; and the closing sentence after the list (a map is total if 1 after f = 1) = IsTotal. Nothing is stated nowhere, so the row stays ok. One printing slip seen while checking: the first distribution equation of 1b(ii) prints h after (f ovee g) = (h after f) ovee (h ovee g), where the right-hand second summand must be h after g (h ovee g does not even typecheck, h : Y -> Y' and g : X -> Y); the Lean states the correct equation.
180X.1|cho_thm_1|Theses/B/Eff/Effectus.lean|ok|faithful|Theorem (Cho) part 1. The statement pins the effect object: exists s, s.effectus.I = Par.of (top C), i.e. I = 1, which is what 180X.1 asserts. Proof is the thesis's: it is 187I (eff-total-to-partial), assembled from parHasFiniteCoproducts, parHomPCM, parFinPAC, parEffectusPartialForm. 2026-09-04 forward-ref pass: the proof cites parEffectusPartialForm (187I) and parFinPAC (187V), both later than 180X. ALLOWED under DECISIONS 2.2(a): the printed point itself says "To prove the Theorem (in \sref{proof-cho-thm}), we need some preparation" (eff.tex:969), and the printed proof, at eff.tex:1937, discharges part 1 by citing eff-total-to-partial = 187I. FWD-REF 2026-09-04 w3: cho_thm_1 (180X.1) names parEffectusPartialForm (187I) and parFinPAC (1870.50); ALLOWED -- the printed Cho proof IS parsecs 187+188 and 180X.1 = 187I, so both cited names live inside 180X's own printed proof (the 180X.1 = 187I identity being a filing artifact). No proof change.
180X.2|eff_partial_to_total|Theses/B/Eff/Effectus.lean|ok|faithful|Theorem (Cho) part 2. Nonempty (EffectusTotalStructure (Tot D)) bundles the finite coproducts and the final object of Tot D rather than assuming them, so the full content of "the total maps of D form an effectus in total form" is present. Proof is 181XI (eff-partial-to-total), as the thesis says. 2026-09-04 forward-ref pass: the proof cites tot_effectusTotalForm (181XI), later than 180X. ALLOWED: the printed proof of cho-thm (eff.tex:1937, cited forward from eff.tex:969) discharges part 2 by "is shown in \sref{eff-partial-to-total}" = 181XI. FWD-REF 2026-09-04 w3: eff_partial_to_total (180X.2) names tot_effectusTotalForm (181XI); ALLOWED -- 180X.2 = 181XI, within 180X's own printed proof (parsecs 181+187+188); filing artifact. No proof change.
180X.3|cho_thm_3_tot_par, cho_thm_3_par_tot|Theses/B/Eff/Effectus.lean|ok|faithful|Theorem (Cho) part 3, "nothing is lost". The thesis asserts an ISOMORPHISM of categories (188III exhibits P with a two-sided inverse P' f = pair(f, (1 after f)^perp); 188IV exhibits Q g = g-hat and inverts it by pardp), while both Lean statements assert only Nonempty of an EQUIVALENCE. See the 188III/188IV rows: the underlying functors are literally identity-on-objects and are proved Full and Faithful, so the isomorphism is a corollary that is never stated. cho_thm_3_tot_par is additionally tied to the specific partial-form structure built in cho_thm_1 (deliberate, recorded in PROVING-LOG session 12); cho_thm_3_par_tot is quantified over an arbitrary EffectusTotalStructure on Tot D, which is stronger than the thesis's single structure.|repaired - both halves now forward the strengthened 188III/188IV. cho_thm_3_tot_par (Effectus.lean:2542) and cho_thm_3_par_tot (2577) each assert, as a first conjunct, two identity-on-objects functors whose composites are equal to the identity functors on the nose; the Nonempty equivalence is kept as the second conjunct. cho_thm_3_par_tot is still quantified over an arbitrary EffectusTotalStructure on Tot D, which is stronger than the thesis and deliberate (PROVING-LOG session 12).  2026-08-26 B/Eff stmt pass: RECLASSIFIED weaker -> ok. VERIFIED in the tree: both halves now assert the ISOMORPHISM of categories, not merely an equivalence. cho_thm_3_tot_par (Effectus.lean:2632) and cho_thm_3_par_tot (2667) each give two functors, pinned identity-on-objects (Q.obj Z = Tot.of (Par.of Z) etc.), with BOTH composites equal to the identity functors on the nose; the Nonempty equivalence survives as a second conjunct. cho_thm_3_par_tot remains quantified over an arbitrary EffectusTotalStructure on Tot D, which is STRONGER than the thesis's single structure and deliberate (PROVING-LOG session 12) -- so if anything this row now leans stronger, not weaker. 2026-09-04 forward-ref pass: the two halves cite par_tot_equiv (188III) and tot_par_equiv (188IV), later than 180X. ALLOWED: eff.tex:1946 and 1969, the two sub-points that prove Par Tot D = D and Tot Par C = C, ARE the printed proof of cho-thm part 3, reached by the forward reference at eff.tex:969. FWD-REF 2026-09-04 w3: cho_thm_3_tot_par names tot_par_equiv (188IV) and cho_thm_3_par_tot names par_tot_equiv (188III); ALLOWED -- both targets ARE the 'Par Tot D = D' / 'Tot Par C = C' sub-points of 180X's own printed proof (parsec 1880 is literally 'Proof of cho-thm'). No proof change.
181II|coproj_total_inl, coproj_total_inr|Theses/B/Eff/Effectus.lean|ok|faithful|Lemma coproj-total (eff.tex:985): coprojections are total. Both coprojections are covered. The proof is the thesis's chain 1_X = 1_X after (1_X after [id,0]) after kappa1 <= 1_{X+Y} after kappa1 <= 1_X, run through le_truth/le_comp_left and antisymmetry.
181IV.1|cotupl_pcm_1|Theses/B/Eff/Effectus.lean|ok|faithful|REPAIRED session 96, 2026-08-26: the proof is now eff.tex:1020-1045's own, and the recorded blocker is gone because the two "missing" lemmas ARE the thesis's own displays. Added as private helpers in Effectus.lean: desc_split, the first display of the proof ([k,0] = pproj1 after (k+l) perp pproj2 after (k+l) = [0,l] by the compatible-sum axiom, and [k,l] = [k,0] ovee [0,l] by PCM-enrichment plus the two coprojections); pcm_middle_four, the four-summand regrouping, which is 174IV PCM.isSumOf_perm for the transposition [a,b,c,d] ~ [a,c,b,d] (with pcm_isSumOf_pair/_iff); and cotupl_pcm_key, the thesis's chain [f,g] ovee [f',g'] = [f,0] ovee [0,g] ovee [f',0] ovee [0,g'] = [f ovee f',0] ovee [0,g ovee g'] = [f ovee f', g ovee g'], whose first step is [f,0] = f after pproj1 perp f' after pproj1 = [f',0]. The "only if" half is unchanged (it was already the thesis's PCM-enrichment argument). The old route through FinPAC.untying and compatible_sum on [f ovee f', g ovee g'] is gone. Compiles clean with zero diagnostics; axioms propext + Classical.choice + Quot.sound in situ.|left-reasoned, re-derived 2026-09-04: left 2026-08-25, re-verified against the tree: the session-95 verdict stands. Read again at Effectus.lean:369. The 'if' direction is not a dodge: it untwists f,f' and g,g' with FinPAC.untying and applies FinPAC.compatible_sum to the single map [f ovee f', g ovee g'] into Z+Z, computing both partial projections -- the same two finPAC axioms eff.tex:1020 uses, assembled the other way round. Restoring the thesis's decomposition still needs [h,0] perp [0,l] and [h,l] = [h,0] ovee [0,l], neither of which is in the tree, plus a four-summand middle-four interchange through PCM.isSumOf_perm (which IS in the tree, B/Eff/EffectAlgebras, so that one ingredient is no longer missing -- the other two still are). Nothing is orphaned by the current route: cotupl_pcm_2 and cotupl_pcm_ea_iso are its only consumers and both are live.
181IV.2|cotupl_pcm_2|Theses/B/Eff/Effectus.lean|ok|faithful|REPAIRED session 96, 2026-08-26 together with 181IV.1: clause 2 is now read off the same four-summand chain (cotupl_pcm_key), which is how eff.tex:1035 gets it -- the thesis establishes the definedness and the value together, not separately. The extra hf, hg hypotheses are unchanged (by clause 1 they follow from the shared hypothesis, so the statement is equivalent), and the proof-irrelevance of ovee is handled by PCM.ovee_congr. The coproduct-extensionality route is gone.|left-reasoned, re-derived 2026-09-04: left 2026-08-25, re-verified against the tree: the session-95 verdict stands. coprod.hom_ext plus ovee_comp_left IS a universal-property argument about the coproduct, and the thesis's route through [h,l] = [h,0] ovee [0,l] needs the same two absent lemmas as 181IV.1. Note the Lean takes hf, hg as extra hypotheses, which by clause 1 follow from the shared hypothesis, so the statement is equivalent.
181IV.3|cotupl_pcm_3|Theses/B/Eff/Effectus.lean|ok|faithful|Proposition cotupl-pcm clause 3, [0,0] = 0, proved as in the thesis from 0 after kappa_i = 0.
