tag|num|kind|label|loc|start
SIG|1|Definition|def:pcm|main.tex:201|A \Define{partial commutative monoid} (\Define{PCM})
SIG|2|Definition||main.tex:249|A \Define{partially $\sigma$-additive monoid} (\Define{$\sigma$-PAM}) is a nonempty set $M$ equipped with
SIG|3|Definition||main.tex:303|A category $\catC$ is \Define{enriched over PCMs} (resp.\ \Define{enriched over $\sigma$-PAMs})
SIG|4|Definition||main.tex:314|A category $\catC$ with zero morphisms $0\colon A\to B$ (such as when it is enriched over PCMs) has for each coproduct $\coprod_{j\in J} A_j
SIG|5|Definition|def:sigma-pac|main.tex:331|A \Define{finitely partially additive category} (resp.\ \Define{partially $\sigma$-additive category})
SIG|6|Remark||main.tex:355|Fin/$\sigma$-PACs can be characterized in a more categorically simple manner as categories with finite/countable coproducts, zero maps, and 
SIG|7|Definition|def:EA|main.tex:360|An \Define{effect algebra}~\cite{foulis1994effect} is a PCM $(E,\ovee, 0)$ with a `top' element $1\in E$ such that
SIG|8|Example|ex:Boolean-is-effect-algebra|main.tex:381|A Boolean algebra $(B,0,1,\vee, \perp)$ is an effect algebra with $(\ )^\bot$ the regular complement, $a\perp b$ iff $a \wedge b = 0$ and in
SIG|9|Example|ex:standard-effect-algebra|main.tex:387|Let $B(H)$ be the space of bounded operators on a Hilbert space $H$ equipped with the standard partial order. Its \emph{effects} are
SIG|10|Remark|partial-remark|main.tex:396|The usual notion of morphisms $f\colon E\to D$ between effect algebras requires them to additionally be \Define{unital} in the sense that $f
SIG|11|Remark||main.tex:413|The definition of an effect algebra might seem a bit arbitrary. They are however canonical in the following way: the category of effect alge
SIG|12|Definition|def:effectus|main.tex:440|An \Define{effectus} (in partial form, see Remark~\ref{partial-total-remark} below) is a finPAC $\catC$
SIG|13|Remark|remark:operational-interpretation|main.tex:496|As studied by Tull \cite{tull2016,tull2019phdthesis}, one can interpret a ($\sigma$-)effectus as
SIG|14|Example|ex:pfn|main.tex:527|A \Define{partial function} $f\colon X\rightharpoonup Y$ is a function of sets where for each $x\in X$, $f(x)$ is either an element of $Y$ o
SIG|15|Example|ex:wstar|main.tex:548|Let $\Wstar$ be the category of $W^*$-algebras (also known as \emph{von Neumann algebras}) and subunital normal positive linear maps (see \c
SIG|16|Remark|partial-total-remark|main.tex:574|What we defined as an effectus is called an \emph{effectus in partial form} in~\cite{cho2015introduction}. It is also possible to axiomatize
SIG|17|Definition|def:sigma-effect-algebra|main.tex:609|A \Define{$\sigma$-effect algebra} \cite{Gudder1998,FoulisG2007}
SIG|18|Proposition|prop:effect-algebra-PAM-iff-complete|main.tex:631|Let $E$ be an effect algebra with a $\sigma$-PAM structure that extends the PCM structure of $E$. Then $E$ is $\omega$-complete and hence a 
SIG|19|Corollary||main.tex:641|For any object $A$ in a $\sigma$-effectus $\catC$, $\Pred(A)=\catC(A,I)$ forms a $\sigma$-effect algebra. \qed
SIG|20|Lemma|lem:sigma-additive-equiv-omega-conti|main.tex:651|Let $E,D$ be $\sigma$-effect algebras and $f\colon E\to D$ an additive map.
SIG|21|Definition|def:effectmonoid|main.tex:669|An \Define{effect monoid} (resp.~\Define{$\sigma$-effect monoid}) is a ($\sigma$-)effect algebra %(resp.\ $\sigma$-effect algebra)
SIG|22|Example|ex:booleanalgebra|main.tex:710|In $\Pfn$ the scalars are $\{0,1\}$, and hence $\{0,1\}$ is a $\sigma$-effect monoid. More generally, any Boolean algebra $(B,0,1,\wedge,\ve
SIG|23|Example|ex:CX|main.tex:718|The scalars of $\Wstar^{\opp}$ is the real unit interval $[0,1]$, which is thus a $\sigma$-effect monoid with the usual multiplication and p
SIG|24|Definition||main.tex:771|Let $M$ be a ($\sigma$-)effect monoid. %(resp.\ $\sigma$-effect monoid). A \Define{($\sigma$-)effect $M$-module} %(resp.\ \Define{$\sigma$-e
SIG|25|Example||main.tex:797|If $\catC$ is a ($\sigma$-)effectus with scalars $M=\catC(I,I)$, the set $\Pred(A)$ of predicates
SIG|26|Example||main.tex:805|A ($\sigma$-)effect $\{0,1\}$-module is just a ($\sigma$-)effect algebra, as the $\set{0,1}$-action is trivial.
SIG|27|Example||main.tex:811|When $M$ is the real unit interval $[0,1]$, an effect $M$-module is precisely a \emph{convex effect algebra}~\cite{gudder1999convex}. These 
SIG|28|Proposition|prop:emod-effectus|main.tex:816|Let $M$ be an effect monoid (resp.\ $\sigma$-effect monoid). Then the opposite category
SIG|29|Proposition||main.tex:840|Let $\catC$ be an effectus (resp.\ $\sigma$-effectus) with scalars $M=\catC(I,I)$. Then the assignment $A\mapsto \Pred(A)$
SIG|30|Definition|def:wpmod|main.tex:869|Let $M$ be a ($\sigma$-)effect monoid. %(resp.\ $\sigma$-effect monoid). A \Define{($\sigma$-)weight $M$-module}
SIG|31|Example||main.tex:910|If $\catC$ is a ($\sigma$-)effectus with scalars $M=\catC(I,I)$, the set $\sSt(A)$ of substates
SIG|32|Example|ex:weight-module-bool|main.tex:947|Both weight $\set{0,1}$-modules and $\sigma$-weight $\set{0,1}$-modules
SIG|33|Proposition|prop:wmod-effectus|main.tex:964|Let $M$ be an effect monoid (resp.\ $\sigma$-effect monoid). Then the category
SIG|34|Proposition||main.tex:987|Let $\catC$ be a ($\sigma$-)effectus %(resp.\ $\sigma$-effectus) with scalars $M=\catC(I,I)$.
SIG|35|Remark|remark-convex|main.tex:1005|Similar results to the previous two hold for $M$-convex sets and states in an effectus under certain additional assumptions
SIG|36|Definition||main.tex:1035|A ($\sigma$-)effectus is \Define{predicate-separated} when any pair of morphisms $f,g\colon A\to B$ satisfy $f=g$ whenever $p\circ f=p\circ 
