DISP|lean_name|module|stmt|proof|note|status
168I|(not converted)|B/Dils/Pure|ok|none|Header note: 168I-168IV (introduction; the two rejected notions of purity; the polar-decomposition motivation) are prose and are declared "nothing to formalize". Correct: the only mathematical content is 168III's two justifications, and both are converted elsewhere in this very file - "every nmiu-map is extreme among unital ncp-maps" as 172VIII nmiu_ncp_extreme, and "every ncp-map is a composition of two extreme maps" as 172XII ncp_extreme_comp.
94II.5|cornerSet.instCStarAlgebra|B/Dils/Pure|ok|faithful|proc.tex 94II part 5 (corner-vna-basic): pAp with the operations, involution and norm of A and with p as unit is a C*-algebra. The corner is the subtype {a // p*a*p = a}, which is 94II.1's first characterisation; the projection hypothesis is carried as [Fact (IsStarProjection p)] and the file header explains why it is not decoration (without idempotence the set is not closed under multiplication). Parts 1 (the second iff, ceil_r a cup ceil_l a <= e), 2, 3, 4 are in the file as untagged lemmas (val_mul, mul_left/mul_right, isClosed_setOf); part 1's ceiling characterisation is nowhere.
94II.5|cornerSet.instPartialOrder|B/Dils/Pure|ok|none|The order of pAp defined as the lift of A's along Subtype.val. Not a separate clause of 94II - part 5 gives the C*-structure and part 6 speaks of "self-adjoint elements of eAe" ordered as in A - so this is a definitional choice, made explicit and then justified by the next row.
94II.5|cornerSet.instStarOrderedRing|B/Dils/Pure|ok|faithful|That the inherited order IS the star-order of the C*-algebra pAp. The thesis does not state this separately (it is implicit in part 5 plus part 6); the substance is that sqrt a stays in the corner, which is cornerSet.sqrt_mem. Legitimate and needed: without it "the supremum in pAp" of part 6 would be about a different order.
94II.6|cornerSet.isLUB_mem|B/Dils/Pure|ok|faithful|Part 6, first half: the supremum in A of a nonempty directed bounded set of self-adjoint elements of the corner lies in the corner. Proof is the hint's: p(.)p is normal (44VIII ad_normal) and fixes the set, so it fixes the supremum.
94II.6|cornerSet.saMap_isLUB|B/Dils/Pure|ok|faithful|Part 6, second half: that supremum is the supremum in pAp. Stated in the transported direction (an IsLUB in sa(pAp) maps to an IsLUB in sa(A)), which together with isLUB_mem is the point. Boundedness is supplied by the LUB itself rather than assumed, as in the text.
94II.8|cornerSet.restrictNP|B/Dils/Pure|ok|faithful|Part 8, first half: the restriction of an np-functional on A to pAp is an np-functional. Normality is exactly saMap_isLUB. Part 7 (the inclusion is an ncp-SU-map) is rendered later as cornerInclNcp, but only as an ncp-map - subunitality of the inclusion is stated nowhere.
94II.8|cornerSet_vonNeumannAlgebra|B/Dils/Pure|ok|faithful|Part 8's conclusion: pAp is a von Neumann algebra when A is. Directed suprema from part 6, faithfulness of the np-functionals from the restrictions of A's, which already separate - the thesis's own two ingredients. Parts 9 (the projection is ncpu; here cornerLin/cornerNcp, tagged 34V/44VIII instead) and 10 (every np-map on eAe is a restriction; the ultraweak and ultrastrong topologies agree) are not converted anywhere.
56VI|fact_isStarProjection_floor|B/Dils/Pure|ok|mathlib|Instance wrapper: floor b is a projection, with junk value 0 off the effects. 56VI is cited as provenance; the content comes from floor_spec in A/VN.
56I|fact_isStarProjection_ceil|B/Dils/Pure|ok|mathlib|Instance wrapper: ceil b is a projection, junk value 0 off the positive cone. 56I/59I cited as provenance; content from ceil_spec in A/VN.
68III|fact_isStarProjection_cceil|B/Dils/Pure|ok|mathlib|Instance wrapper: cceil b is a projection. 68III cceil_isLeast in A/VN supplies it.
169II|IsCornerFor|B/Dils/Pure|stronger|none|Definition dils-corner. Two widenings, both away from the chapter's standing setting. (i) The test object C is quantified over C*-algebras with PartialOrder+StarOrderedRing, where 169II's ncp-maps go between VON NEUMANN algebras; more test maps f means a harder universal property, so IsCornerFor is a strictly stronger predicate than the printed one. (ii) A and B themselves carry no [VonNeumannAlgebra] binder. The doc comment at 169IV admits (i) in so many words ("a stronger statement, since the universal property has to hold against more maps f"). Everything else matches clause for clause: a in [0,1]_A, h a = h 1, and a UNIQUE ncp f' with f = f' after h. NB the whole of QUESTIONS D7 says this definition is the wrong one (both f and f' should be subunital); no ruling yet, so it is audited as printed. The widening is now an open author question: docs/DECISIONS.md section 3.8.|left-benign: the widened test class (C ranges over C*-algebras where 169II's ncp-maps go between von Neumann algebras) makes IsCornerFor a strictly stronger predicate, and it is proved in that stronger form at every site that concludes it (169IV, 169V, 169VI, 170IV.1). Caveat, unchanged: QUESTIONS D7 is OPEN and says 169II's definition is wrong in a different way - both f and f' should be subunital - so the definition may yet change.
169II|IsCorner|B/Dils/Pure|stronger|none|"A corner is an ncp-map which is a corner for some effect" - matches 169II, inheriting IsCornerFor's two widenings. The widening is now an open author question: docs/DECISIONS.md section 3.8.|left-benign: inherits IsCornerFor's widened test class and missing binders; same open-D7 caveat.
169IV|ncp_eq_zero_ceil|B/Dils/Pure|ok|route|Private, the one real step of 169IV: an ncp-map killing an effect b kills ceil b. Divergence class 2 and forced, as the doc says: proc.tex 95III closes this with 60V ncp_ceil (ceilings computed in the TARGET), which is unavailable because our test object need not be a von Neumann algebra; instead ceil b = sup_n b^(1/2^n) (56I vna_ceil_sup) plus Kadison's inequality (34XIV) via the private ncp_eq_zero_sqrt.|left-would-weaken: our IsCornerFor quantifies its test object over C*-ALGEBRAS where the thesis's quantifies over von Neumann algebras (checked: standard_corner_dils's universal clause introduces C with [CStarAlgebra C] only), so the statement is strictly stronger and 60V ncp_ceil - which computes a ceiling in the target - does not apply. The substitute (56I vna_ceil_sup plus 34XIV Kadison) is the thesis's own construction of the ceiling. Verified session 95's second pass. 2026-08-26 B/Dils route pass: LEFT under reason 3 (statement change). Our 169II IsCornerFor (Pure.lean:679) quantifies its test object over C*-algebras where the thesis's (and A/Proc's IsCornerOf, Measurement.lean:1625) quantifies over von Neumann algebras, so the statement here is strictly stronger and the printed step - 60V ncp_ceil, which computes the ceiling in the TARGET - is inapplicable to it. Matching the printed route would require narrowing IsCornerFor's test class, i.e. changing the statement; the substitute (56I vna_ceil_sup plus 34XIV Kadison, via ncp_eq_zero_sqrt) is the thesis's own construction of the ceiling. No code change.
34V|cornerLin_cp|B/Dils/Pure|ok|faithful|Private: complete positivity of b -> pbp into the corner, from 34V.1 ad_cp. This is proc.tex 94II part 9 / 95III's "pi is ncp by ad-ncp", carrying no 94II label.
44VIII|cornerLin_normal|B/Dils/Pure|ok|faithful|Private: normality of b -> pbp read in the corner, from 44VIII ad_normal plus the fact that the corner's order is inherited. Again 94II part 9, unlabelled as such.
34IV|cornerInclNcp|B/Dils/Pure|ok|faithful|Private: the inclusion pAp -> A as an ncp-map (the zeta of proc.tex 95III). Complete positivity by 34IV.3 cp_of_mi; normality by cornerSet.val_normal, which needs no centrality. 94II part 7 asks for ncpSU; subunitality is not stated, and is not needed here.
169IV|standard_corner_dils|B/Dils/Pure|stronger|route|Example standard-corner-dils: h_a : A -> floor(a) A floor(a), b -> floor(a) b floor(a), is a corner of a in [0,1]_A. Rendered as existence plus the defining formula, which pins the map. Stronger only through IsCornerFor's widened test class (see the 169II row); with A a von Neumann algebra, as here. Proof is proc.tex 95III's, with the two deviations the doc records: 60V ncp_ceil replaced by vna_ceil_sup + Kadison (forced by the widening), and zeta's normality taken from cornerSet.val_normal rather than from ad-ncp. Everything else - h(a)=h(1) as floor(a) a floor(a) = floor(a), uniqueness from surjectivity, existence as f after zeta via 63IV cp_comprehension - is the source's.|left-benign: [VonNeumannAlgebra A] is present; the only strengthening is IsCornerFor's widened test class. 2026-08-26 B/Dils route pass: LEFT under reason 3 (statement change). The only divergence is IsCornerFor's widened test class (C*-algebras, not von Neumann algebras - Pure.lean:679 against A/Proc Measurement.lean:1625), which is what forces the one substituted step (60V ncp_ceil -> vna_ceil_sup + Kadison, see the ncp_eq_zero_ceil row); narrowing it back is a statement change. Everything else is proc.tex 95III's own argument. No code change.
159III|pdil_mketbraBa_star|B/Dils/Pure|ok|faithful|Private: ketbra(x,y)* = ketbra(y,x) as an identity of algebra elements, the form 169VI's "straightforward computations (using hilbmodketbrarules)" consume. 159III is transcribed proper in SelfDual.lean.
169VI|pdil_theta|B/Dils/Pure|ok|none|Definition of the thesis's vartheta : B -> q P q, b -> ketbra(e.b, e) with e = 1 tensor 1, mirrored to ketbra(b SMUL e, e) in this file's convention. Departure, admitted in the section doc: pdil_theta is typed into the whole of P, and the corestriction to qPq and its inverse qTq -> h(qTq) are not top-level definitions - but they ARE formed, inside pdil_theta_normal, which is where 169VI uses them, so the miu-ISOMORPHISM is on record.|NOTE CORRECTED session 95's second pass. The departure is smaller than recorded: the corestriction to q P q and its inverse ARE now formed, inside the proof of pdil_theta_normal, which is where 169VI uses them, so the miu-ISOMORPHISM is on record. What remains true is that neither is a top-level definition and that pdil_theta itself is typed into the whole of P.
